Company,Star Rating,Current Employee,Work Duration,Review Title,Date Posted,Job Title,Job Location,Recommend,CEO Approval,Business Outlook,Pros,Cons,Advice to Management
Meta,5.0,1,less than 1 year,10/10 Recommend,2022-01-25,Technical Sourcer,"Austin, TX",2,2,2,"- Great leadership
- Diversity-focused
- Excellent culture
- Great comp package + perks","- Negative press
- Large company, so it's difficult to know every area of the business",
Meta,5.0,1,more than 8 years,I love this place!,2022-01-25,Executive Assistant,"Menlo Park, CA",2,2,2,"Meta hires some of the smartest and kindest people, making it easy to collaborate and move fast. Everyone is incredibly helpful and willing to step in at the last minute to get things done. In addition, I'm grateful to work for a company that does so much good in the world - you feel like you're a part of something much bigger than yourself. Leadership encourages open perspectives and feedback, making it OUR company.","Entitlement culture of some employee's can be frustrating. It's the flip side of the coin since leadership encourages feedback, but sometimes it's too much and can get heated. Respectful communication is key.",
Meta,5.0,1,,"Great company (team, leadership, perks, salary and benefits)",2022-01-25,Senior Technical Recruiter,"Austin, TX",2,2,2,"Support, resources, team culture, compensation, benefits, training, opportunities for growth, innovative company",large company where someone who is quite can get lost - so be LOUD :),
Meta,5.0,1,more than 3 years,Meta is a fantastic company that truly cares about it's employees!,2022-01-25,Program Manager,"Menlo Park, CA",2,2,2,"- Benefits: the best of any company I've ever seen, including Google, Apple, etc.
- Colleagues: the most intelligent and passionate people with whom I've had the pleasure of working",- Reputation: it can be difficult at times to work at a company that is so targeted in the media,
Meta,4.0,1,more than 3 years,YMMV depending on team,2022-02-08,Product Designer,"San Francisco, CA",2,-1,1,"High skill bar, good WLB (depending on team), good comp","Can be toxic in some teams, TC dropping a lot due to bad press",
Meta,5.0,1,more than 1 year,Meta rocks!,2022-01-17,Business Development Manager,"San Francisco, CA",2,2,0,Great challenges and culture! I love working for Meta!,"So far, nothing major to share.",
Meta,5.0,1,more than 1 year,Totally innovative company,2022-01-21,Technical Program Manager,"San Francisco, CA",2,2,2,"Build something that a billion + users will actually use!
The creation process is very innovative.
Make an impact quickly
Remote work",The press and media don't get that Meta is adapting and making improvements.,Keep sharing how much improvements we are making with the public
Meta,5.0,1,more than 3 years,Working in the Metaverse,2022-01-21,Product Manager,"Menlo Park, CA",2,1,2,"- People: You work and learn from some of the most incredible people
- Culture: Depending on your team, culture really drives things here. 
- Benefits: Enough said - some of the most thoughtful and incredible benefits at this company - it has changed my life","Ways of working / resourcing- every team is severely under resourced, and always asked to do more with less. It can feel like a never ending hamster wheel at times.

Diversity & Inclusion: They are struggling in this arena like the rest of the tech industry. Many teams & leaders are trying to push this forward across recruiting & different functions in the business. As much as we improve the numbers, there isn't much movement higher than the VP level, and we're losing as many folks as we're bringing in. We replaced a few M-Team members last year, and we clearly didn't use the ""Diverse Slade Approach"" for those candidates.",
Meta,5.0,1,,Great place to work,2022-01-20,"Manager, Learning & Development","Cupertino, CA",2,2,2,"Meta is so focused on making sure our products are not causing harm, secure and equitable. Its top of mind, talked about in every conversation, and addressed all the time. Are we perfect? No. But we're constantly striving to improve. 

I have worked in many high performance tech companies and Meta, in my experience, has a good work life balance. There is a lot of focus on mental health, ample benefits to help with making sure you feel supported and healthy.","Meta is big. There is not a lot of centralized tools or processes. Every team does it a bit different, so working across teams can be more complicated.",
Meta,5.0,1,less than 1 year,great company,2022-01-23,Software Engineer,"New York, NY",0,0,0,Career growth is great for engineer,Move in very fast pace,
Meta,5.0,1,more than 8 years,Good Technical Depth,2022-01-23,Senior Software Engineer,"Menlo Park, CA",2,2,2,"1. Impact at scale
2. Exposure to latest ML techniques
3. Place to be innovative albeit with privacy in mind",Not much to say except low work-life balance and high stress which is expected,
