GE,3.0,0,,A fair place,2022-01-11,Anonymous Employee,,0,0,0,People are good. Communicate well,"Salary is low, not competitive",
GE,5.0,0,,Great Company,2021-12-27,Warehouse Manager,"Saginaw, TX",2,2,2,Benefits and pay is really good,overworked too many hours no home life,
GE,5.0,1,more than 3 years,Great place to work,2021-12-28,Engineer,"Richmond, VA",2,2,2,Get to work on technical products,None that I can think of,
GE,4.0,1,,Overall a good place to work,2021-12-27,Finance Director,"Chicago, IL",0,0,0,Flexible work environment with high-caliber colleagues.,"Large company, things can move slowly.",
GE,3.0,1,more than 3 years,"Good work environment, bad benefits",2022-01-10,Senior Intel Analyst,"Richmond, VA",0,0,0,"Culture is really solid, and people are great","Benefits are well below average - healthcare is bad, and getting worse",
GE,3.0,0,more than 3 years,Test engineer,2022-01-11,Anonymous Employee,,0,0,0,"Good work environment, benefits are alright.","Low paid, management is not very good.",
GE,3.0,0,more than 10 years,Shifting Gears,2022-01-09,Product Manager,"Schenectady, NY",-1,1,-1,"As of 2019: 
flexibility in schedule
limited oversight","As of 2019:
major company shift putting pressure on research spending",
GE,3.0,0,more than 5 years,"Great people, poor vision",2022-01-08,Project Manager,,2,2,-1,The people are great. It feels more like a family than a job.,"The lack of a cohesive vision from leadership results in poor planning, inconsistent priorities and unrealistic commitments made to customers.",
GE,5.0,1,more than 10 years,Great company,2021-12-23,Senior Talent Leader,,0,2,2,"Lot of opportunities 
Smart people 
Exciting businesses","Fast pace of change
Compensation is average",Keep up the good work in transforming the company
GE,3.0,1,more than 3 years,"Good benefit and work life balance, long term unknown due to split to three companies",2022-01-06,Staff Software Engineer,"Atlanta, GA",-1,2,-1,Work life balance.. Generous paid time off.,Uncertainty in the future. GE will split to three companies.,
GE,3.0,0,,Classic Harvard Business Case Study,2022-01-06,Vice President,"Philadelphia, PA",-1,0,1,Diversity and solving world's complex issues.,Leveraged too much debt and failure of company integration.,
GE,3.0,0,more than 1 year,Solid at the Core,2022-01-06,Project Lead,"Dallas, TX",2,2,2,Excellent environment to learn and grow.,"Erratic hours, constantly flipping day and night shift schedules.",
GE,3.0,1,more than 10 years,Good products - Lots of hurdles for improvements,2022-01-07,Senior Program Manager,,-1,2,2,Flexible work arrangements. Pride in products. Unlimited vacation days.,"Global pay freezes. Benefits decline as costs increase. Overworked, so unlimited vacation days benefit not possible to keep up.",
